"A1.spc - RawData"
	"A2.spc - RawData"
	"A3.spc - RawData"
	"A4.spc - RawData"
	"A5.spc - RawData"
	"A6.spc - RawData"
	"A7.spc - RawData"
	"A8.spc - RawData"
	"B1.spc - RawData"
	"B2.spc - RawData"
	"B3.spc - RawData"
	"B4.spc - RawData"
	"B5.spc - RawData"
	"B6.spc - RawData"
	"B7.spc - RawData"
	"B8.spc - RawData"
	"blank.spc - RawData"
	"C1.spc - RawData"
	"C2.spc - RawData"
	"C3.spc - RawData"
	"C4.spc - RawData"
	"C5.spc - RawData"
	"C6.spc - RawData"
	"C7.spc - RawData"
	"C8.spc - RawData"
	"D1.spc - RawData"
	"D2.spc - RawData"
	"D3.spc - RawData"
	"D4.spc - RawData"
	"D5.spc - RawData"
	"D6.spc - RawData"
	"D7.spc - RawData"
	"D8.spc - RawData"
"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
	"Wavelength nm."	"Abs."
220.00	0.027
	220.00	0.024
	220.00	1.272
	220.00	2.075
	220.00	2.368
	220.00	2.772
	220.00	2.893
	220.00	3.044
	220.00	0.022
	220.00	0.019
	220.00	0.538
	220.00	1.116
	220.00	1.792
	220.00	2.184
	220.00	2.345
	220.00	2.657
	220.00	0.003
	220.00	0.023
	220.00	0.023
	220.00	0.405
	220.00	1.021
	220.00	1.572
	220.00	1.968
	220.00	2.416
	220.00	2.852
	220.00	0.030
	220.00	0.022
	220.00	0.065
	220.00	0.193
	220.00	0.323
	220.00	0.490
	220.00	0.636
	220.00	0.897
222.00	0.021
	222.00	0.019
	222.00	1.209
	222.00	1.977
	222.00	2.259
	222.00	2.648
	222.00	2.764
	222.00	2.921
	222.00	0.016
	222.00	0.014
	222.00	0.508
	222.00	1.060
	222.00	1.704
	222.00	2.079
